Taxa,Lat,Perd,Proto
7.33,10,0,HTTP
7.226666666666667,10,0,HTTP
7.306666666666667,10,0,HTTP
7.196666666666666,10,0,HTTP
7.346666666666667,10,0,HTTP
2.8466666666666667,10,25,HTTP
2.6133333333333333,10,25,HTTP
2.73,10,25,HTTP
2.58,10,25,HTTP
2.5566666666666666,10,25,HTTP
2.9166666666666665,10,25,HTTP
2.966666666666667,10,25,HTTP
2.683333333333333,10,25,HTTP
2.2666666666666666,10,25,HTTP
2.65,10,25,HTTP
2.5366666666666666,10,25,HTTP
3.0,10,25,HTTP
2.5733333333333333,10,25,HTTP
2.703333333333333,10,25,HTTP
2.22,10,25,HTTP
2.3766666666666665,10,25,HTTP
2.433333333333333,10,25,HTTP
2.1566666666666667,10,25,HTTP
2.0966666666666667,10,25,HTTP
2.776666666666667,10,25,HTTP
2.7,10,25,HTTP
2.6766666666666667,10,25,HTTP
2.3033333333333332,10,25,HTTP
1.8166666666666667,10,25,HTTP
2.08,10,25,HTTP
2.0866666666666664,10,25,HTTP
3.0966666666666667,10,25,HTTP
2.566666666666667,10,25,HTTP
1.0,100,15,COAP
1.0833333333333333,100,15,COAP
1.12,100,15,COAP
1.0333333333333334,100,15,COAP
1.1266666666666667,100,15,COAP
1.09,100,15,COAP
1.0566666666666666,100,15,COAP
1.0066666666666666,100,15,COAP
1.0533333333333332,100,15,COAP
0.9833333333333333,100,15,COAP
1.0033333333333334,100,15,COAP
0.9833333333333333,100,15,COAP
1.1333333333333333,100,15,COAP
1.1066666666666667,100,15,COAP
1.1233333333333333,100,15,COAP
1.1266666666666667,100,15,COAP
1.12,100,15,COAP
1.1133333333333333,100,15,COAP
0.94,100,15,COAP
0.94,100,15,COAP
0.93,100,15,COAP
1.08,100,15,COAP
1.0666666666666667,100,15,COAP
1.1466666666666667,100,15,COAP
1.09,100,15,COAP
1.1066666666666667,100,15,COAP
1.09,100,15,COAP
1.0933333333333333,100,15,COAP
0.8233333333333334,100,0,COAP
0.82,100,0,COAP
0.82,100,0,COAP
0.8233333333333334,100,0,COAP
0.8166666666666667,100,0,COAP
0.8233333333333334,100,0,COAP
0.82,100,0,COAP
0.8166666666666667,100,0,COAP
0.8233333333333334,100,0,COAP
0.8233333333333334,100,0,COAP
0.82,100,0,COAP
0.82,100,0,COAP
0.82,100,0,COAP
0.8166666666666667,100,0,COAP
0.82,100,0,COAP
0.82,100,0,COAP
0.82,100,0,COAP
0.8166666666666667,100,0,COAP
0.82,100,0,COAP
0.82,100,0,COAP
0.82,100,0,COAP
0.8166666666666667,100,0,COAP
0.82,100,0,COAP
0.82,100,0,COAP
0.82,100,0,COAP
0.8166666666666667,100,0,COAP
0.82,100,0,COAP
0.82,100,0,COAP
1.1033333333333333,100,25,COAP
1.1033333333333333,100,25,COAP
0.97,100,25,COAP
0.9166666666666666,100,25,COAP
0.8233333333333334,100,25,COAP
0.9366666666666666,100,25,COAP
1.0333333333333334,100,25,COAP
0.9033333333333333,100,25,COAP
1.0433333333333332,100,25,COAP
0.9233333333333333,100,25,COAP
0.9733333333333334,100,25,COAP
1.0433333333333332,100,25,COAP
1.1166666666666667,100,25,COAP
0.8333333333333334,100,25,COAP
1.06,100,25,COAP
0.9133333333333333,100,25,COAP
0.7833333333333333,100,25,COAP
0.9833333333333333,100,25,COAP
1.0333333333333334,100,25,COAP
0.8833333333333333,100,25,COAP
0.9466666666666667,100,25,COAP
0.81,100,25,COAP
0.8966666666666666,100,25,COAP
0.9866666666666667,100,25,COAP
0.8533333333333334,100,25,COAP
1.05,100,25,COAP
0.9966666666666667,100,25,COAP
0.86,100,25,COAP
0.98,400,15,COAP
0.9666666666666667,400,15,COAP
0.93,400,15,COAP
1.0,400,15,COAP
0.97,400,15,COAP
1.0,400,15,COAP
0.9966666666666667,400,15,COAP
0.98,400,15,COAP
0.9133333333333333,400,15,COAP
1.07,400,15,COAP
1.0566666666666666,400,15,COAP
0.8433333333333334,400,15,COAP
0.6766666666666666,400,15,COAP
0.8733333333333333,400,15,COAP
1.0033333333333334,400,15,COAP
0.79,400,15,COAP
0.9733333333333334,400,15,COAP
1.07,400,15,COAP
0.97,400,15,COAP
0.7666666666666667,400,15,COAP
0.9,400,15,COAP
0.87,400,15,COAP
0.96,400,15,COAP
0.9633333333333334,400,15,COAP
1.0733333333333333,400,15,COAP
1.08,400,15,COAP
1.0033333333333334,400,15,COAP
0.8566666666666667,400,15,COAP
